campaignid,sample,reef,mean_relief
2020-10_south-west_stereo-BRUVs,IO352,0.425,1.4
2020-10_south-west_stereo-BRUVs,IO353,0.972222222,2.833333333
2020-10_south-west_stereo-BRUVs,IO354,1,2.909090909
2020-10_south-west_stereo-BRUVs,IO355,0.210526316,1.708333333
2020-10_south-west_stereo-BRUVs,IO356,0.647058824,2.225806452
2020-10_south-west_stereo-BRUVs,IO357,0.741935484,2.409090909
2020-10_south-west_stereo-BRUVs,IO36,0,0.12
2020-10_south-west_stereo-BRUVs,IO361,0.310344828,1.52173913
2020-10_south-west_stereo-BRUVs,IO363,1,2.9
2020-10_south-west_stereo-BRUVs,IO364,0.147058824,0.608695652
2020-10_south-west_stereo-BRUVs,IO365,1,2.35
2020-10_south-west_stereo-BRUVs,IO369,0.290322581,1.05
2020-10_south-west_stereo-BRUVs,IO37,0.25,0.8
2020-10_south-west_stereo-BRUVs,IO370,0.088235294,0.923076923
2020-10_south-west_stereo-BRUVs,IO372,0.21875,1.347826087
2020-10_south-west_stereo-BRUVs,IO374,0.961538462,2.421052632
2020-10_south-west_stereo-BRUVs,IO377,0,0
2020-10_south-west_stereo-BRUVs,IO378,0.138888889,0.636363636
2020-10_south-west_stereo-BRUVs,IO379,0.034482759,0.285714286
2020-10_south-west_stereo-BRUVs,IO4,0.954545455,1.153846154
2020-10_south-west_stereo-BRUVs,IO40,0,0.5
2020-10_south-west_stereo-BRUVs,IO46,0,0.05
2020-10_south-west_stereo-BRUVs,IO47,0.115384615,0.25
2020-10_south-west_stereo-BRUVs,IO49,0,0.4
2020-10_south-west_stereo-BRUVs,IO5,0.034482759,1.041666667
2020-10_south-west_stereo-BRUVs,IO58,0.517241379,2
2020-10_south-west_stereo-BRUVs,IO59,0.052631579,0.571428571
2020-10_south-west_stereo-BRUVs,IO62,0,0.642857143
2020-10_south-west_stereo-BRUVs,IO64,0.8,2
2020-10_south-west_stereo-BRUVs,IO65,0.606060606,1.56
2020-10_south-west_stereo-BRUVs,IO66,0.842105263,2.423076923
2020-10_south-west_stereo-BRUVs,IO71,0.027027027,0.045454545
2020-10_south-west_stereo-BRUVs,IO72,1,2.48
2020-10_south-west_stereo-BRUVs,IO73,0.970588235,2.47826087
